"","id","lat","lon","val"
"171",171,90,255,0
"172",172,90,256.5,0
"173",173,90,258,0
"174",174,90,259.5,0
"175",175,90,261,0
"176",176,90,262.5,0
"177",177,90,264,0
"178",178,90,265.5,0
"179",179,90,267,0
"180",180,90,268.5,0
"181",181,90,270,0
"182",182,90,271.5,0
"183",183,90,273,0
"184",184,90,274.5,0
"185",185,90,276,0
"186",186,90,277.5,0
"187",187,90,279,0
"188",188,90,280.5,0
"189",189,90,282,0
"190",190,90,283.5,0
"191",191,90,285,0
"192",192,90,286.5,0
"193",193,90,288,0
"194",194,90,289.5,0
"195",195,90,291,0
"196",196,90,292.5,0
"197",197,90,294,0
"198",198,90,295.5,0
"199",199,90,297,0
"200",200,90,298.5,0
"201",201,90,300,0
"202",202,90,301.5,0
"203",203,90,303,0
"204",204,90,304.5,0
"205",205,90,306,0
"206",206,90,307.5,0
"207",207,90,309,0
"208",208,90,310.5,0
"209",209,90,312,0
"210",210,90,313.5,0
"211",211,90,315,0
"212",212,90,316.5,0
"213",213,90,318,0
"214",214,90,319.5,0
"215",215,90,321,0
"216",216,90,322.5,0
"217",217,90,324,0
"218",218,90,325.5,0
"219",219,90,327,0
"220",220,90,328.5,0
"221",221,90,330,0
"222",222,90,331.5,0
"223",223,90,333,0
"224",224,90,334.5,0
"225",225,90,336,0
"226",226,90,337.5,0
"227",227,90,339,0
"228",228,90,340.5,0
"229",229,90,342,0
"230",230,90,343.5,0
"231",231,90,345,0
"232",232,90,346.5,0
"233",233,90,348,0
"234",234,90,349.5,0
"235",235,90,351,0
"236",236,90,352.5,0
"237",237,90,354,0
"238",238,90,355.5,0
"239",239,90,357,0
"240",240,90,358.5,0
"241",241,88.5,0,0
"242",242,88.5,1.5,0
"243",243,88.5,3,0
"244",244,88.5,4.5,0
"245",245,88.5,6,0
"246",246,88.5,7.5,0
"247",247,88.5,9,0
"248",248,88.5,10.5,0
"249",249,88.5,12,0
"250",250,88.5,13.5,0
"251",251,88.5,15,0
"252",252,88.5,16.5,0
"253",253,88.5,18,0
"254",254,88.5,19.5,0
"255",255,88.5,21,0
"256",256,88.5,22.5,0
"257",257,88.5,24,0
"258",258,88.5,25.5,0
"259",259,88.5,27,0
"260",260,88.5,28.5,0
"261",261,88.5,30,0
"262",262,88.5,31.5,0
"263",263,88.5,33,0
"264",264,88.5,34.5,0
"265",265,88.5,36,0
"266",266,88.5,37.5,0
"267",267,88.5,39,0
"268",268,88.5,40.5,0
"269",269,88.5,42,0
"270",270,88.5,43.5,0
"271",271,88.5,45,0
"272",272,88.5,46.5,0
"273",273,88.5,48,0
